Title,Year,Ranking
The Father,I 2020,8.3
Avengers: Endgame,2019,8.4
The Shawshank Redemption,1994,9.3
The Godfather,1972,9.2
Inception,2010,8.8
Interstellar,2014,8.6
Parasite,2019,8.6
Stand by Me,1986,8.1
Joker,2019,8.4
Soul,2020,8.1
The Dark Knight,2008,9.0
The Wolf of Wall Street,2013,8.2
Pulp Fiction,1994,8.9
Back to the Future,1985,8.5
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
Inglourious Basterds,2009,8.3
Goodfellas,1990,8.7
Gladiator,2000,8.5
Avengers: Infinity War,2018,8.4
The Matrix,1999,8.7
Alien,1979,8.4
To Kill a Mockingbird,1962,8.3
Whiplash,2014,8.5
Fight Club,1999,8.8
1917,2019,8.3
Green Book,2018,8.2
The Departed,2006,8.5
The Silence of the Lambs,1991,8.6
Jurassic Park,1993,8.1
Forrest Gump,1994,8.8
Schindler's List,1993,8.9
Scarface,1983,8.3
Léon: The Professional,1994,8.5
Mad Max: Fury Road,2015,8.1
Aliens,1986,8.3
Prisoners,2013,8.1
Heat,1995,8.2
Shutter Island,2010,8.2
No Country for Old Men,2007,8.1
Django Unchained,2012,8.4
The Dark Knight Rises,2012,8.4
Se7en,1995,8.6
Gone Girl,2014,8.1
Hamilton,2020,8.5
The Princess Bride,1987,8.1
The Prestige,2006,8.5
Star Wars: Episode IV - A New Hope,1977,8.6
Saving Private Ryan,1998,8.6
The Green Mile,1999,8.6
The Shining,1980,8.4
The Lion King,1994,8.5
The Lord of the Rings: The Return of the King,2003,8.9
Requiem for a Dream,2000,8.3
Ford v Ferrari,2019,8.1
The Big Lebowski,1998,8.1
Blade Runner,1982,8.1
Snatch,2000,8.3
Memento,2000,8.4
There Will Be Blood,2007,8.2
Indiana Jones and the Raiders of the Lost Ark,1981,8.4
Come and See,1985,8.3
Spider-Man: Into the Spider-Verse,2018,8.4
The Hunt,2012,8.3
Fargo,1996,8.1
Eternal Sunshine of the Spotless Mind,2004,8.3
American Beauty,1999,8.3
Terminator 2: Judgment Day,1991,8.5
Taxi Driver,1976,8.3
Harry Potter and the Deathly Hallows: Part 2,2011,8.1
Die Hard,1988,8.2
Apocalypse Now,1979,8.4
The Sixth Sense,1999,8.1
The Godfather: Part II,1974,9.0
The Grand Budapest Hotel,2014,8.1
Hacksaw Ridge,2016,8.1
"Three Billboards Outside Ebbing, Missouri",2017,8.1
Good Will Hunting,1997,8.3
12 Angry Men,1957,9.0
Rush,I 2013,8.1
Spirited Away,2001,8.6
Braveheart,1995,8.3
A Clockwork Orange,1971,8.3
The Usual Suspects,1995,8.5
One Flew Over the Cuckoo's Nest,1975,8.7
The Truman Show,1998,8.1
Into the Wild,2007,8.1
Catch Me If You Can,2002,8.1
The Pianist,2002,8.5
Oldboy,2003,8.4
Kill Bill: Vol. 1,2003,8.1
Batman Begins,2005,8.2
Reservoir Dogs,1992,8.3
The Lord of the Rings: The Two Towers,2002,8.7
Coco,I 2017,8.4
Logan,2017,8.1
The Handmaiden,2016,8.1
Pan's Labyrinth,2006,8.2
Full Metal Jacket,1987,8.3
"The Good, the Bad and the Ugly",1966,8.8
Casino,1995,8.2
Once Upon a Time in America,1984,8.4
Room,I 2015,8.1
The Intouchables,2011,8.5
City of God,2002,8.6
A Beautiful Mind,2001,8.2
Rear Window,1954,8.5
Memories of Murder,2003,8.1
2001: A Space Odyssey,1968,8.3
American History X,1998,8.5
Star Wars: Episode V - The Empire Strikes Back,1980,8.7
Psycho,1960,8.5
Your Name.,2016,8.4
"Lock, Stock and Two Smoking Barrels",1998,8.2
Inside Out,I 2015,8.1
L.A. Confidential,1997,8.2
Life Is Beautiful,1997,8.6
Dead Poets Society,1989,8.1
Spotlight,I 2015,8.1
Hachi: A Dog's Tale,2009,8.1
Trainspotting,1996,8.1
V for Vendetta,2005,8.1
Amadeus,1984,8.3
"Monsters, Inc.",2001,8.1
The Sting,1973,8.3
Star Wars: Episode VI - Return of the Jedi,1983,8.3
12 Years a Slave,2013,8.1
Finding Nemo,2003,8.1
Toy Story,1995,8.3
Capernaum,2018,8.4
Unforgiven,1992,8.2
Indiana Jones and the Last Crusade,1989,8.2
Warrior,2011,8.1
3 Idiots,2009,8.4
The Thing,1982,8.1
Casablanca,1942,8.5
Incendies,2010,8.3
Howl's Moving Castle,2004,8.2
Rocky,1976,8.1
Gone with the Wind,1939,8.1
Downfall,2004,8.2
Once Upon a Time in the West,1968,8.5
Up,2009,8.2
Platoon,1986,8.1
Lawrence of Arabia,1962,8.3
Citizen Kane,1941,8.3
Amélie,2001,8.3
Some Like It Hot,1959,8.2
The Lives of Others,2006,8.4
The Deer Hunter,1978,8.1
Seven Samurai,1954,8.6
WALL·E,2008,8.4
"Paris, Texas",1984,8.1
Cinema Paradiso,1988,8.5
Grave of the Fireflies,1988,8.5
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4
Vertigo,1958,8.3
How to Train Your Dragon,2010,8.1
Princess Mononoke,1997,8.4
Before Sunrise,1995,8.1
Chinatown,1974,8.2
Raatchasan,2018,8.5
Monty Python and the Holy Grail,1975,8.2
Dangal,2016,8.4
In the Mood for Love,2000,8.1
It's a Wonderful Life,1946,8.6
Gran Torino,2008,8.1
The Great Escape,1963,8.2
Million Dollar Baby,2004,8.1
A Silent Voice: The Movie,2016,8.2
Barry Lyndon,1975,8.1
Toy Story 3,2010,8.2
The Secret in Their Eyes,2009,8.2
North by Northwest,1959,8.3
Cool Hand Luke,1967,8.1
Raging Bull,1980,8.2
Das Boot,1981,8.3
Wild Tales,2014,8.1
In the Name of the Father,1993,8.1
My Neighbor Totoro,1988,8.2
Hotel Rwanda,2004,8.1
The Elephant Man,1980,8.1
La Haine,1995,8.1
Monty Python's Life of Brian,1979,8.1
Ben-Hur,1959,8.1
Gangs of Wasseypur,2012,8.2
Stalker,1979,8.1
Sunset Blvd.,1950,8.4
Singin' in the Rain,1952,8.3
Andhadhun,2018,8.2
Judgment at Nuremberg,1961,8.2
Modern Times,1936,8.5
Metropolis,1927,8.3
Paths of Glory,1957,8.4
Before Sunset,2004,8.1
The Seventh Seal,1957,8.2
A Separation,2011,8.3
Hara-Kiri,1962,8.6
Ran,1985,8.2
Rebecca,1940,8.1
Pather Panchali,1955,8.6
Witness for the Prosecution,1957,8.4
Drishyam 2,2021,8.7
Klaus,2019,8.2
The Bridge on the River Kwai,1957,8.1
For a Few Dollars More,1965,8.2
Like Stars on Earth,2007,8.4
Nausicaä of the Valley of the Wind,1984,8.1
The Apartment,1960,8.3
Network,1976,8.1
Persona,1966,8.1
Amores Perros,2000,8.1
On the Waterfront,1954,8.1
M,1931,8.3
Mary and Max,2009,8.1
Neon Genesis Evangelion: The End of Evangelion,1997,8.1
All About Eve,1950,8.2
Dial M for Murder,1954,8.2
